Pk,Yrs,WS
1.0,506.0,3106.0
2.0,455.0,2048.1
3.0,483.0,2653.8
4.0,470.0,2075.2
5.0,489.0,2168.2999999999997
6.0,353.0,1069.9
7.0,451.0,1568.0
8.0,413.0,1238.0
9.0,455.0,1892.6000000000001
10.0,423.0,1487.0
11.0,401.0,1419.0
12.0,368.0,1003.2
13.0,397.0,1403.3999999999999
14.0,334.0,1011.1
15.0,328.0,945.3
16.0,325.0,894.7
17.0,307.0,748.5
18.0,348.0,993.7
19.0,310.0,739.8
20.0,311.0,712.0
21.0,322.0,818.7
22.0,257.0,610.1
23.0,299.0,675.6
24.0,325.0,998.3
25.0,254.0,556.7
26.0,245.0,591.8
27.0,273.0,693.1999999999999
28.0,236.0,496.5
29.0,251.0,571.5
30.0,226.0,598.0
