Season,Age,Experience,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24,OBPM,DBPM,BPM,VORP
2001-02,21,1,MEM,NBA,PF,82,3007,19.5,0.566,0.005,0.448,8.8,18.2,13.5,13.8,0.7,3.9,15.0,22.6,,4.8,2.8,7.6,0.121,,1.5,0.2,1.7,2.8
2002-03,22,2,MEM,NBA,PF,82,2948,20.7,0.57,0.009,0.506,7.4,19.9,13.7,13.6,0.6,3.4,13.5,24.1,,6.5,2.0,8.5,0.138,,2.1,-0.3,1.8,2.8
2003-04,23,3,MEM,NBA,PF,78,2458,21.7,0.542,0.014,0.487,9.4,18.3,13.8,14.9,0.9,3.9,12.8,26.8,,5.3,2.8,8.1,0.159,,2.9,0.1,2.9,3.0
2004-05,24,4,MEM,NBA,PF,56,1790,22.5,0.582,0.009,0.528,8.7,18.7,13.7,14.7,1.1,4.1,13.8,26.2,,4.1,2.8,6.8,0.184,,2.9,1.1,4.0,2.7
2005-06,25,5,MEM,NBA,PF,80,3135,22.7,0.555,0.01,0.517,7.5,20.0,13.8,23.7,0.8,3.9,13.8,26.4,,6.6,5.4,12.0,0.184,,3.9,1.7,5.5,6.0
2006-07,26,6,MEM,NBA,C,59,2133,24.1,0.593,0.013,0.466,8.3,24.2,16.3,17.7,0.7,4.5,13.5,25.3,,5.4,1.5,6.9,0.155,,3.7,-0.1,3.6,3.0
2007-08,27,7,TOT,NBA,C,66,2351,21.6,0.594,0.018,0.407,7.4,18.7,13.1,15.2,0.6,3.0,10.6,22.1,,6.4,2.1,8.4,0.172,,3.3,0.1,3.4,3.2
2008-09,28,8,LAL,NBA,C,81,2999,22.2,0.617,0.002,0.42,10.0,19.3,14.7,14.8,0.9,2.1,11.3,20.4,,9.8,4.2,13.9,0.223,,4.0,0.5,4.5,5.0
2009-10,29,9,LAL,NBA,C,65,2403,22.9,0.593,0.006,0.429,11.4,22.7,17.1,15.0,0.8,3.5,12.5,21.4,,6.8,4.2,11.0,0.22,,3.7,1.3,4.9,4.2
2010-11,30,10,LAL,NBA,C,82,3037,23.3,0.589,0.003,0.384,10.3,20.5,15.6,15.1,0.8,3.3,9.8,21.8,,10.0,4.7,14.7,0.232,,3.9,0.9,4.8,5.2
2011-12,31,11,LAL,NBA,PF,65,2430,20.4,0.547,0.029,0.285,8.8,21.8,15.6,17.2,0.8,2.6,12.1,22.1,,5.2,3.1,8.3,0.165,,2.6,0.8,3.4,3.3
2012-13,32,12,LAL,NBA,PF,49,1655,16.7,0.512,0.048,0.307,7.6,20.1,14.0,19.9,0.7,2.7,13.7,20.5,,2.0,1.7,3.7,0.107,,1.1,0.9,2.0,1.7
2013-14,33,13,LAL,NBA,C,60,1884,19.3,0.522,0.016,0.287,7.0,25.9,16.4,18.7,0.7,3.5,12.4,26.4,,1.3,1.7,3.0,0.076,,1.0,0.2,1.2,1.5
2014-15,34,14,CHI,NBA,PF,78,2681,22.7,0.55,0.023,0.317,9.2,27.6,18.6,14.4,0.5,4.0,10.7,24.7,,6.0,4.4,10.4,0.187,,2.9,0.6,3.5,3.7
2015-16,35,15,CHI,NBA,C,72,2291,21.7,0.529,0.069,0.29,7.3,28.7,18.2,21.7,0.9,4.7,12.8,24.6,,3.2,3.9,7.1,0.149,,2.7,2.3,4.9,4.0
2016-17,36,16,SAS,NBA,C,64,1627,20.2,0.578,0.172,0.305,7.6,26.8,17.4,14.7,0.8,3.5,10.6,21.3,,3.3,3.1,6.4,0.19,,2.6,1.5,4.0,2.5
2017-18,37,17,SAS,NBA,C,77,1812,18.9,0.539,0.191,0.333,7.8,30.2,19.0,20.1,0.7,3.6,13.1,20.4,,2.7,3.3,6.0,0.159,,1.5,1.9,3.4,2.5
2018-19,38,18,TOT,NBA,C,30,360,16.7,0.529,0.138,0.426,6.7,34.2,20.6,19.1,0.7,3.5,12.5,15.6,,0.5,0.5,1.1,0.142,,1.0,2.1,3.1,0.5
