Season,Age,Experience,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24,OBPM,DBPM,BPM,VORP
1979-80,26.0,4,TOT,NBA,SF,78.0,2401.0,18.0,0.536,0.005,0.239,11.3,14.9,13.1,13.9,1.4,1.4,14.8,23.4,,3.3,2.0,5.3,0.105,,1.6,-1.2,0.4,1.5
1980-81,27.0,5,DEN,NBA,SF,81.0,3093.0,19.7,0.549,0.003,0.295,8.8,12.6,10.7,13.4,1.5,1.6,12.1,24.0,,6.7,1.6,8.3,0.129,,3.1,-1.0,2.2,3.2
1981-82,28.0,6,DEN,NBA,SF,82.0,3015.0,22.2,0.596,0.005,0.285,7.7,12.0,9.9,19.9,1.3,2.0,13.0,25.3,,8.9,0.6,9.5,0.152,,4.9,-1.1,3.8,4.4
1982-83,29.0,7,DEN,NBA,SF,82.0,2988.0,24.1,0.561,0.006,0.264,8.9,11.5,10.2,19.5,1.7,2.1,11.3,28.9,,8.7,1.6,10.3,0.166,,5.4,-0.8,4.6,5.0
1983-84,30.0,8,DEN,NBA,SF,82.0,2870.0,22.2,0.57,0.004,0.249,7.7,9.3,8.5,20.9,1.3,1.7,10.5,27.9,,7.2,1.0,8.2,0.136,,4.7,-1.4,3.4,3.9
1984-85,31.0,9,DEN,NBA,SF,81.0,2924.0,21.6,0.561,0.003,0.255,7.0,9.9,8.3,17.9,1.5,0.9,11.1,29.3,,6.8,2.1,8.9,0.146,,4.1,-1.4,2.7,3.5
1985-86,32.0,10,DEN,NBA,SF,81.0,3024.0,21.7,0.562,0.003,0.314,6.3,7.7,7.0,17.0,1.1,0.5,10.4,30.5,,7.6,2.3,9.8,0.156,,4.4,-1.5,2.9,3.7
1986-87,33.0,11,DEN,NBA,SF,82.0,3085.0,20.5,0.549,0.008,0.254,4.7,7.2,5.8,21.6,1.1,0.4,9.1,29.2,,7.0,1.1,8.1,0.126,,4.0,-2.0,1.9,3.1
1987-88,34.0,12,DEN,NBA,SF,80.0,2818.0,19.8,0.535,0.004,0.222,6.0,8.0,7.0,20.5,1.1,0.5,8.8,28.4,,5.3,2.2,7.6,0.129,,3.4,-1.4,2.0,2.9
1988-89,35.0,13,DEN,NBA,SF,82.0,2990.0,19.0,0.531,0.004,0.201,4.8,6.5,5.6,19.7,1.0,0.2,8.8,28.8,,5.1,1.7,6.8,0.11,,3.0,-2.1,0.9,2.1
1989-90,36.0,14,DEN,NBA,SF,80.0,2211.0,17.9,0.522,0.004,0.142,5.3,8.4,6.8,15.6,1.1,0.6,6.3,26.0,,3.3,1.7,5.1,0.11,,2.5,-1.2,1.2,1.8
1990-91,37.0,15,DAL,NBA,SF,79.0,1748.0,12.2,0.48,0.001,0.191,7.0,9.5,8.3,9.5,1.2,0.9,11.3,22.7,,-0.2,0.8,0.6,0.017,,-1.8,-1.9,-3.7,-0.8
