Season,Age,Experience,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24,OBPM,DBPM,BPM,VORP
1986-87,25.0,1,DET,NBA,SF,77.0,1155.0,15.5,0.56,0.003,0.322,15.6,15.3,15.5,6.8,1.6,2.4,17.2,18.9,,1.1,1.7,2.9,0.12,,-0.2,0.7,0.5,0.7
1987-88,26.0,2,DET,NBA,SF,82.0,2147.0,17.4,0.571,0.024,0.401,16.9,20.2,18.6,7.4,1.7,1.2,15.8,19.2,,3.2,3.6,6.8,0.153,,1.2,0.4,1.6,2.0
1988-89,27.0,3,DET,NBA,SF,82.0,2208.0,16.3,0.613,0.049,0.292,17.6,21.7,19.8,6.3,1.3,2.1,17.4,14.1,,4.1,3.9,8.1,0.175,,1.0,1.1,2.2,2.3
1989-90,28.0,4,DET,NBA,SF,82.0,2377.0,15.4,0.608,0.018,0.438,16.2,21.7,19.0,4.2,1.1,1.6,13.2,12.3,,5.0,4.4,9.3,0.189,,0.7,0.9,1.6,2.2
1990-91,29.0,5,DET,NBA,SF,82.0,2747.0,13.9,0.525,0.054,0.314,15.0,27.8,21.3,4.4,1.2,1.3,12.9,11.7,,3.4,5.2,8.7,0.151,,-0.1,0.7,0.6,1.8
1991-92,30.0,6,DET,NBA,PF,82.0,3301.0,17.0,0.574,0.159,0.22,18.1,34.1,26.2,8.2,1.1,1.3,16.7,11.1,,5.6,7.0,12.6,0.183,,1.9,0.9,2.8,4.0
1992-93,31.0,7,DET,NBA,PF,62.0,2410.0,13.6,0.467,0.17,0.38,16.1,36.8,26.0,5.6,1.0,1.2,17.1,10.7,,1.4,4.1,5.5,0.11,,-0.8,0.2,-0.6,0.9
1993-94,32.0,8,SAS,NBA,PF,79.0,2989.0,13.4,0.549,0.082,0.349,17.9,32.8,25.7,8.2,0.9,0.7,29.1,7.1,,3.3,5.4,8.7,0.14,,0.7,0.3,1.0,2.3
1994-95,33.0,9,SAS,NBA,PF,49.0,1568.0,16.6,0.604,0.008,0.463,20.8,37.8,29.7,8.5,1.0,1.0,25.3,10.9,,2.6,3.2,5.8,0.178,,1.4,0.4,1.8,1.5
1995-96,34.0,10,CHI,NBA,PF,64.0,2088.0,13.6,0.501,0.089,0.349,19.9,33.2,26.6,10.0,0.9,1.0,28.2,10.3,,1.7,4.6,6.2,0.143,,-0.3,0.3,0.0,1.1
1996-97,35.0,11,CHI,NBA,PF,55.0,1947.0,13.9,0.479,0.066,0.308,18.9,32.2,25.6,11.4,0.9,0.7,25.5,10.0,,2.0,4.0,6.0,0.148,,0.2,0.3,0.5,1.2
1997-98,36.0,12,CHI,NBA,PF,80.0,2856.0,12.4,0.459,0.064,0.308,16.8,31.4,24.1,11.2,0.9,0.5,26.4,8.7,,1.9,5.9,7.8,0.131,,-0.7,0.4,-0.3,1.3
1998-99,37.0,13,LAL,NBA,PF,23.0,657.0,8.0,0.388,0.043,0.848,11.2,34.1,22.9,6.2,0.8,1.3,32.9,6.5,,-0.1,0.9,0.8,0.056,,-2.0,0.0,-2.0,0.0
1999-00,38.0,14,DAL,NBA,PF,12.0,389.0,8.4,0.457,0.032,0.452,13.3,33.8,23.6,4.6,0.3,0.2,33.8,6.4,,0.1,0.5,0.6,0.074,,-2.5,-0.7,-3.2,-0.1
