Season,Age,Experience,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24,OBPM,DBPM,BPM,VORP
1994-95,21.0,1,DAL,NBA,PG,79.0,2668.0,15.1,0.471,0.3,0.321,5.8,11.9,8.7,33.2,2.9,0.6,20.4,19.0,,1.1,2.6,3.7,0.066,,0.6,0.6,1.2,2.1
1995-96,22.0,2,DAL,NBA,PG,81.0,3034.0,17.8,0.468,0.306,0.256,6.5,13.3,9.6,41.5,2.9,0.6,18.6,24.3,,1.7,2.6,4.3,0.068,,2.3,-0.3,2.0,3.0
1996-97,23.0,3,TOT,NBA,PG,55.0,1964.0,16.9,0.498,0.312,0.312,3.8,11.0,7.4,38.9,3.3,0.8,19.1,17.2,,2.3,2.0,4.4,0.107,,1.2,0.7,1.8,1.9
1997-98,24.0,4,PHO,NBA,PG,82.0,3118.0,16.4,0.502,0.271,0.243,4.1,14.7,9.5,35.6,2.7,0.6,21.5,17.6,,3.2,4.8,8.0,0.123,,1.5,1.6,3.1,4.0
1998-99,25.0,5,PHO,NBA,PG,50.0,2060.0,22.5,0.527,0.176,0.342,4.8,14.5,9.6,44.0,3.0,0.7,15.7,21.4,,5.8,2.3,8.1,0.188,,4.4,1.1,5.5,3.9
1999-00,26.0,6,PHO,NBA,PG,67.0,2616.0,18.4,0.498,0.194,0.287,4.2,16.1,10.3,40.1,2.6,0.8,19.0,20.0,,3.7,4.8,8.5,0.156,,2.3,2.0,4.3,4.2
2000-01,27.0,7,PHO,NBA,PG,77.0,3065.0,19.4,0.51,0.211,0.367,3.3,15.2,9.1,41.2,2.8,0.5,18.3,22.7,,4.2,5.4,9.6,0.15,,2.4,1.7,4.2,4.8
2001-02,28.0,8,NJN,NBA,PG,82.0,3056.0,19.1,0.484,0.32,0.217,4.7,17.2,10.9,42.5,3.0,0.5,18.7,22.5,,3.1,5.8,8.9,0.14,,3.0,1.5,4.5,5.0
2002-03,29.0,9,NJN,NBA,PG,80.0,2989.0,22.2,0.526,0.297,0.324,4.2,15.1,9.6,42.2,3.1,0.6,17.2,25.9,,5.5,5.8,11.3,0.182,,4.8,1.8,6.6,6.5
2003-04,30.0,10,NJN,NBA,PG,67.0,2450.0,19.7,0.485,0.306,0.26,4.1,16.5,10.3,44.8,2.7,0.4,16.7,24.6,,2.8,4.4,7.2,0.141,,3.4,1.3,4.7,4.2
2004-05,31.0,11,NJN,NBA,PG,66.0,2435.0,19.5,0.506,0.419,0.225,4.6,19.8,12.1,40.6,2.7,0.3,15.1,21.3,,3.1,4.2,7.2,0.143,,3.3,1.4,4.6,4.1
2005-06,32.0,12,NJN,NBA,PG,80.0,2975.0,19.2,0.526,0.436,0.27,3.3,19.8,11.4,39.0,2.7,0.8,15.9,19.1,,4.5,5.6,10.1,0.163,,2.8,2.6,5.4,5.5
2006-07,33.0,13,NJN,NBA,PG,80.0,2933.0,19.4,0.516,0.398,0.253,5.5,20.8,13.2,41.4,2.3,0.6,17.4,19.4,,5.1,4.1,9.3,0.152,,3.1,1.5,4.7,4.9
2007-08,34.0,14,TOT,NBA,PG,80.0,2906.0,16.7,0.499,0.393,0.208,3.8,20.0,12.0,44.0,2.5,0.7,23.5,17.9,,2.0,3.8,5.9,0.097,,1.6,1.3,3.0,3.6
2008-09,35.0,15,DAL,NBA,PG,81.0,2886.0,16.9,0.55,0.523,0.17,3.4,16.4,9.9,34.7,2.9,1.0,21.8,13.5,,4.6,3.9,8.5,0.141,,1.6,1.9,3.6,4.0
2009-10,36.0,16,DAL,NBA,PG,80.0,2881.0,17.2,0.577,0.617,0.148,1.9,15.6,8.9,36.4,2.6,0.9,21.4,14.5,,4.8,4.0,8.9,0.148,,2.5,1.7,4.2,4.5
2010-11,37.0,17,DAL,NBA,PG,80.0,2653.0,14.4,0.5,0.656,0.129,1.6,13.4,7.7,35.4,2.7,0.8,22.1,14.3,,2.5,3.9,6.4,0.116,,0.9,2.0,2.8,3.3
2011-12,38.0,18,DAL,NBA,PG,48.0,1379.0,13.1,0.524,0.817,0.103,1.2,14.8,8.1,28.4,3.1,0.6,24.2,12.7,,0.9,2.1,3.0,0.104,,-0.8,2.4,1.6,1.2
2012-13,39.0,19,NYK,NBA,SG,76.0,2043.0,13.5,0.532,0.795,0.117,2.8,16.2,9.3,17.8,3.3,1.1,15.0,11.6,,2.6,2.8,5.4,0.128,,0.6,2.7,3.3,2.7
