Season,Age,Experience,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24,OBPM,DBPM,BPM,VORP
1987-88,22.0,1,CHI,NBA,SF,79.0,1650.0,12.9,0.489,0.041,0.305,8.1,12.6,10.4,14.5,2.8,1.9,17.0,20.0,,-0.4,2.6,2.3,0.066,,-1.9,1.3,-0.6,0.6
1988-89,23.0,2,CHI,NBA,SF,73.0,2413.0,14.9,0.524,0.089,0.347,6.8,14.3,10.7,15.1,2.9,1.5,16.6,21.3,,0.7,3.3,4.0,0.08,,-0.5,1.0,0.4,1.5
1989-90,24.0,3,CHI,NBA,SF,82.0,3148.0,16.3,0.528,0.097,0.257,5.6,14.9,10.3,19.8,3.3,2.0,17.8,21.2,,1.4,4.3,5.7,0.087,,0.4,1.4,1.8,3.0
1990-91,25.0,4,CHI,NBA,SF,82.0,3014.0,20.6,0.561,0.059,0.295,6.5,16.6,11.6,23.5,3.2,1.9,15.1,21.8,,5.9,5.4,11.2,0.179,,3.2,2.5,5.8,5.9
1991-92,26.0,5,CHI,NBA,SF,82.0,3164.0,21.5,0.555,0.059,0.319,6.9,15.8,11.5,25.8,2.5,1.8,14.0,24.6,,7.1,5.5,12.7,0.192,,4.1,2.0,6.1,6.4
1992-93,27.0,6,CHI,NBA,SF,81.0,3123.0,19.2,0.51,0.07,0.264,7.3,16.0,11.5,24.0,2.9,1.6,14.2,23.9,,3.8,4.8,8.6,0.132,,2.6,1.4,4.0,4.7
1993-94,28.0,7,CHI,NBA,SF,72.0,2759.0,23.2,0.544,0.154,0.32,7.3,19.4,13.3,24.6,4.0,1.4,13.7,27.1,,5.2,6.0,11.2,0.194,,4.5,3.2,7.7,6.8
1994-95,29.0,8,CHI,NBA,SF,79.0,3014.0,22.6,0.559,0.239,0.333,6.9,18.2,12.5,22.8,4.0,2.2,15.2,26.3,,5.1,6.7,11.8,0.188,,4.4,3.0,7.5,7.2
1995-96,30.0,9,CHI,NBA,SF,77.0,2825.0,21.0,0.551,0.33,0.266,6.3,14.2,10.2,25.2,2.5,1.5,13.2,24.4,,7.0,5.3,12.3,0.209,,4.6,1.7,6.3,5.9
1996-97,31.0,10,CHI,NBA,SF,82.0,3095.0,21.3,0.554,0.31,0.213,5.9,13.3,9.7,24.3,2.7,1.1,12.5,24.6,,7.8,5.2,13.1,0.203,,4.3,1.4,5.7,6.1
1997-98,32.0,11,CHI,NBA,SF,44.0,1652.0,20.4,0.533,0.273,0.274,3.7,12.1,7.9,26.5,2.6,1.9,12.1,24.4,,3.7,3.0,6.6,0.193,,3.3,1.6,5.0,2.9
1998-99,33.0,12,HOU,NBA,SF,50.0,2011.0,16.8,0.53,0.351,0.303,3.9,14.2,9.4,24.4,2.6,1.3,18.8,19.7,,2.5,2.3,4.9,0.116,,1.4,1.1,2.5,2.3
1999-00,34.0,13,POR,NBA,SF,82.0,2749.0,16.4,0.533,0.306,0.259,5.1,16.2,11.0,23.7,2.3,1.1,17.8,19.6,,3.4,4.4,7.8,0.137,,1.9,1.7,3.6,3.9
2000-01,35.0,14,POR,NBA,SF,64.0,2133.0,15.3,0.541,0.312,0.27,4.1,14.2,9.3,21.8,2.4,1.2,18.8,17.9,,2.4,2.7,5.1,0.115,,1.0,1.2,2.2,2.3
2001-02,36.0,15,POR,NBA,SF,62.0,1996.0,14.9,0.497,0.295,0.244,4.5,14.5,9.5,28.7,2.7,1.3,20.5,19.1,,1.2,2.6,3.7,0.09,,0.1,1.6,1.8,1.9
2002-03,37.0,16,POR,NBA,SF,64.0,1911.0,15.3,0.52,0.223,0.248,3.6,14.0,8.8,24.3,3.0,1.0,19.9,20.0,,1.2,2.6,3.8,0.095,,0.0,1.6,1.6,1.7
2003-04,38.0,17,CHI,NBA,SF,23.0,412.0,12.4,0.448,0.343,0.193,5.2,13.1,9.0,21.0,2.7,1.6,16.0,19.6,,-0.2,0.5,0.3,0.037,,-1.4,0.8,-0.6,0.1
